Textbox_UWAGA2,Textbox_PARAMETRY
RETAIL PRICES OF SELECTED CONSUMER NON-FOODSTUFFS AND SERVICES - MONTHLY [ZL],"Year: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023
Month: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Territorial unit: Poland"

Textbox2,KOD_TOWARY_NZYWN,KOD_ROKU,WARTOSC_OST_blok9
Specification,Heating of dwellings – per m2 of usable floor space,2013 VI,.
Specification,Heating of dwellings – per m2 of usable floor space,2013 VII,.
Specification,Heating of dwellings – per m2 of usable floor space,2013 VIII,.
Specification,Heating of dwellings – per m2 of usable floor space,2013 IX,.
Specification,Heating of dwellings – per m2 of usable floor space,2013 X,3.91
Specification,Heating of dwellings – per m2 of usable floor space,2013 XI,3.90
Specification,Heating of dwellings – per m2 of usable floor space,2013 XII,3.90
Specification,Heating of dwellings – per m2 of usable floor space,2014 I,3.94
Specification,Heating of dwellings – per m2 of usable floor space,2014 II,3.97
Specification,Heating of dwellings – per m2 of usable floor space,2014 III,4.00
Specification,Heating of dwellings – per m2 of usable floor space,2014 IV,3.98
Specification,Heating of dwellings – per m2 of usable floor space,2014 V,.
Specification,Heating of dwellings – per m2 of usable floor space,2014 VI,.
Specification,Heating of dwellings – per m2 of usable floor space,2014 VII,.
Specification,Heating of dwellings – per m2 of usable floor space,2014 VIII,.
Specification,Heating of dwellings – per m2 of usable floor space,2014 IX,.
Specification,Heating of dwellings – per m2 of usable floor space,2014 X,3.96
Specification,Heating of dwellings – per m2 of usable floor space,2014 XI,3.97
Specification,Heating of dwellings – per m2 of usable floor space,2014 XII,3.98
Specification,Heating of dwellings – per m2 of usable floor space,2015 I,4.00
Specification,Heating of dwellings – per m2 of usable floor space,2015 II,4.00
Specification,Heating of dwellings – per m2 of usable floor space,2015 III,4.00
Specification,Heating of dwellings – per m2 of usable floor space,2015 IV,3.99
Specification,Heating of dwellings – per m2 of usable floor space,2015 V,.
Specification,Heating of dwellings – per m2 of usable floor space,2015 VI,.
Specification,Heating of dwellings – per m2 of usable floor space,2015 VII,.
Specification,Heating of dwellings – per m2 of usable floor space,2015 VIII,.
Specification,Heating of dwellings – per m2 of usable floor space,2015 IX,.
Specification,Heating of dwellings – per m2 of usable floor space,2015 X,3.96
Specification,Heating of dwellings – per m2 of usable floor space,2015 XI,3.96
Specification,Heating of dwellings – per m2 of usable floor space,2015 XII,3.95
Specification,Heating of dwellings – per m2 of usable floor space,2016 I,3.98
Specification,Heating of dwellings – per m2 of usable floor space,2016 II,3.97
Specification,Heating of dwellings – per m2 of usable floor space,2016 III,3.98
Specification,Heating of dwellings – per m2 of usable floor space,2016 IV,3.97
Specification,Heating of dwellings – per m2 of usable floor space,2016 V,.
Specification,Heating of dwellings – per m2 of usable floor space,2016 VI,.
Specification,Heating of dwellings – per m2 of usable floor space,2016 VII,.
Specification,Heating of dwellings – per m2 of usable floor space,2016 VIII,.
Specification,Heating of dwellings – per m2 of usable floor space,2016 IX,.
Specification,Heating of dwellings – per m2 of usable floor space,2016 X,3.92
Specification,Heating of dwellings – per m2 of usable floor space,2016 XI,3.91
Specification,Heating of dwellings – per m2 of usable floor space,2016 XII,3.88
Specification,Heating of dwellings – per m2 of usable floor space,2017 I,3.88
Specification,Heating of dwellings – per m2 of usable floor space,2017 II,3.87
Specification,Heating of dwellings – per m2 of usable floor space,2017 III,3.87
Specification,Heating of dwellings – per m2 of usable floor space,2017 IV,3.86
Specification,Heating of dwellings – per m2 of usable floor space,2017 V,3.82
Specification,Heating of dwellings – per m2 of usable floor space,2017 VI,3.82
Specification,Heating of dwellings – per m2 of usable floor space,2017 VII,3.81
Specification,Heating of dwellings – per m2 of usable floor space,2017 VIII,3.82
Specification,Heating of dwellings – per m2 of usable floor space,2017 IX,3.82
Specification,Heating of dwellings – per m2 of usable floor space,2017 X,3.87
Specification,Heating of dwellings – per m2 of usable floor space,2017 XI,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2017 XII,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2018 I,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2018 II,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2018 III,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2018 IV,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2018 V,3.81
Specification,Heating of dwellings – per m2 of usable floor space,2018 VI,3.79
Specification,Heating of dwellings – per m2 of usable floor space,2018 VII,3.76
Specification,Heating of dwellings – per m2 of usable floor space,2018 VIII,3.77
Specification,Heating of dwellings – per m2 of usable floor space,2018 IX,3.77
Specification,Heating of dwellings – per m2 of usable floor space,2018 X,3.84
Specification,Heating of dwellings – per m2 of usable floor space,2018 XI,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2018 XII,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2019 I,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2019 II,3.88
Specification,Heating of dwellings – per m2 of usable floor space,2019 III,3.88
Specification,Heating of dwellings – per m2 of usable floor space,2019 IV,3.89
Specification,Heating of dwellings – per m2 of usable floor space,2019 V,3.90
Specification,Heating of dwellings – per m2 of usable floor space,2019 VI,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2019 VII,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2019 VIII,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2019 IX,3.85
Specification,Heating of dwellings – per m2 of usable floor space,2019 X,3.90
Specification,Heating of dwellings – per m2 of usable floor space,2019 XI,3.91
Specification,Heating of dwellings – per m2 of usable floor space,2019 XII,3.91
Specification,Heating of dwellings – per m2 of usable floor space,2020 I,3.91
Specification,Heating of dwellings – per m2 of usable floor space,2020 II,3.93
Specification,Heating of dwellings – per m2 of usable floor space,2020 III,3.93
Specification,Heating of dwellings – per m2 of usable floor space,2020 IV,3.93
Specification,Heating of dwellings – per m2 of usable floor space,2020 V,3.92
Specification,Heating of dwellings – per m2 of usable floor space,2020 VI,3.90
Specification,Heating of dwellings – per m2 of usable floor space,2020 VII,3.89
Specification,Heating of dwellings – per m2 of usable floor space,2020 VIII,3.87
Specification,Heating of dwellings – per m2 of usable floor space,2020 IX,3.88
Specification,Heating of dwellings – per m2 of usable floor space,2020 X,3.93
Specification,Heating of dwellings – per m2 of usable floor space,2020 XI,3.92
Specification,Heating of dwellings – per m2 of usable floor space,2020 XII,3.90
Specification,Heating of dwellings – per m2 of usable floor space,2021 I,3.95
Specification,Heating of dwellings – per m2 of usable floor space,2021 II,3.96
Specification,Heating of dwellings – per m2 of usable floor space,2021 III,3.94
Specification,Heating of dwellings – per m2 of usable floor space,2021 IV,3.96
Specification,Heating of dwellings – per m2 of usable floor space,2021 V,3.93
Specification,Heating of dwellings – per m2 of usable floor space,2021 VI,3.91
Specification,Heating of dwellings – per m2 of usable floor space,2021 VII,3.89
Specification,Heating of dwellings – per m2 of usable floor space,2021 VIII,3.90
Specification,Heating of dwellings – per m2 of usable floor space,2021 IX,3.94
Specification,Heating of dwellings – per m2 of usable floor space,2021 X,4.00
Specification,Heating of dwellings – per m2 of usable floor space,2021 XI,4.03
Specification,Heating of dwellings – per m2 of usable floor space,2021 XII,4.05
Specification,Heating of dwellings – per m2 of usable floor space,2022 I,3.30
Specification,Heating of dwellings – per m2 of usable floor space,2022 II,3.32
Specification,Heating of dwellings – per m2 of usable floor space,2022 III,3.35
Specification,Heating of dwellings – per m2 of usable floor space,2022 IV,3.41
Specification,Heating of dwellings – per m2 of usable floor space,2022 V,3.42
Specification,Heating of dwellings – per m2 of usable floor space,2022 VI,3.44
Specification,Heating of dwellings – per m2 of usable floor space,2022 VII,3.51
Specification,Heating of dwellings – per m2 of usable floor space,2022 VIII,3.60
Specification,Heating of dwellings – per m2 of usable floor space,2022 IX,3.80
Specification,Heating of dwellings – per m2 of usable floor space,2022 X,4.06
Specification,Heating of dwellings – per m2 of usable floor space,2022 XI,4.19
Specification,Heating of dwellings – per m2 of usable floor space,2022 XII,4.24
Specification,Heating of dwellings – per m2 of usable floor space,2023 I,4.59
Specification,Heating of dwellings – per m2 of usable floor space,2023 II,4.73
Specification,Heating of dwellings – per m2 of usable floor space,2023 III,4.79
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 I,65.01
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 II,64.99
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 III,64.88
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 IV,65.28
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 V,65.48
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 VI,65.51
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 VII,65.46
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 VIII,65.44
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 IX,65.49
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 X,66.03
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 XI,66.05
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2010 XII,66.24
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 I,67.18
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 II,68.46
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 III,70.35
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 IV,71.05
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 V,71.98
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 VI,73.03
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 VII,73.10
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 VIII,73.93
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 IX,73.87
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 X,74.93
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 XI,75.79
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2011 XII,75.76
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 I,76.02
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 II,76.14
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 III,77.00
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 IV,78.05
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 V,78.58
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 VI,78.57
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 VII,78.85
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 VIII,79.81
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 IX,79.20
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 X,80.22
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 XI,81.02
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2012 XII,81.37
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 I,80.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 II,80.94
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 III,81.47
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 IV,81.95
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 V,82.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 VI,81.97
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 VII,82.01
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 VIII,81.62
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 IX,82.06
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 X,80.95
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 XI,81.71
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2013 XII,81.94
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 I,81.78
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 II,82.09
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 III,81.89
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 IV,82.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 V,82.69
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 VI,81.97
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 VII,81.27
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 VIII,81.06
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 IX,80.60
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 X,81.14
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 XI,81.34
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2014 XII,80.77
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 I,81.07
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 II,82.36
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 III,82.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 IV,82.32
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 V,82.62
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 VI,82.60
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 VII,82.46
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 VIII,83.06
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 IX,83.44
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 X,83.53
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 XI,83.55
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2015 XII,82.84
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 I,83.81
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 II,83.84
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 III,83.94
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 IV,83.83
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 V,83.92
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 VI,83.41
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 VII,83.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 VIII,83.24
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 IX,83.41
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 X,83.40
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 XI,82.91
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2016 XII,82.81
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 I,83.37
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 II,84.02
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 III,84.25
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 IV,83.92
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 V,84.47
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 VI,83.97
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 VII,83.88
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 VIII,83.91
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 IX,83.79
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 X,83.76
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 XI,84.16
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2017 XII,84.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 I,84.32
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 II,84.74
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 III,85.24
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 IV,85.25
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 V,85.06
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 VI,85.34
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 VII,85.20
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 VIII,85.75
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 IX,85.31
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 X,86.02
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 XI,86.24
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2018 XII,85.93
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 I,85.28
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 II,86.06
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 III,86.17
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 IV,85.73
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 V,85.88
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 VI,84.83
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 VII,85.88
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 VIII,86.41
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 IX,86.47
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 X,87.00
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 XI,88.15
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2019 XII,87.80
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 I,87.87
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 II,88.13
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 III,89.02
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 IV,88.67
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 V,89.60
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 VI,89.29
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 VII,89.74
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 VIII,90.18
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 IX,91.06
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 X,91.78
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 XI,91.53
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2020 XII,91.64
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 I,91.14
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 II,91.60
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 III,93.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 IV,94.06
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 V,94.90
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 VI,94.63
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 VII,94.96
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 VIII,95.49
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 IX,95.70
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 X,96.51
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 XI,97.11
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2021 XII,98.49
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 I,100.51
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 II,100.59
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 III,101.38
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 IV,103.45
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 V,106.40
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 VI,107.15
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 VII,109.33
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 VIII,109.71
